sifrao,nazivo
35412500-0,Komandna vozila i vozila za vezu
35420000-4,Delovi vojnih vozila
35421000-1,Mehanièki rezervni delovi za vojna vozila
35421100-2,Motori i delovi motora za vojna vozila
35422000-8,Elektrièni i elektronski rezervni delovi za vojna vozila
35500000-9,Ratni brodovi i pripadajuæi delovi
35510000-2,Ratni brodovi
35511000-9,Sredstva za površinsku borbu
35511100-0,Nosaèi aviona
35511200-1,Razaraèi i fregate
35511300-2,Korvete i patrolni èamci
35511400-3,Amfibijska plovila i brodovi
35512000-6,Podmornice
35512100-7,Strateške podmornice na nuklearni pogon
35512200-8,Ofanzivne podmornice na nuklearni pogon
35512300-9,Ofanzivne podmornice na dizel pogon
35512400-0,Podvodna plovila bez posade
35513000-3,Brodovi za minsku borbu i pomoæni brodovi
35513100-4,Minolovac i èistaè mina
35513200-5,Pomoæno istraživaèko plovilo
35513300-6,Pomoæno obaveštajno plovilo
35513400-7,"Pomoæna bolnica, teretno, tankersko, plovilo za prevoz vozila"
35520000-5,Delovi za ratne brodove
35521000-2,Trup i mehanièki rezervni delovi za ratne brodove
35521100-3,Motori i delovi motora za ratne brodove
35522000-9,Elektronski i elektrièni rezervni delovi za ratne brodove
35600000-0,"Vojni avioni, rakete i svemirske letelice"
35610000-3,Vojni avioni
35611100-1,Avion lovac
35611200-2,Lovci – bombarderi i letelice za napad ciljeva na zemlji
35611300-3,Avioni – bombarderi
35611400-4,Vojni transportni avioni
35611500-5,Trenažni avioni
35611600-6,Mornarièki patrolni avioni
35611700-7,Avioni – cisterne
35611800-8,Izviðaèki avioni
35612100-8,Borbeni helikopteri
35612200-9,Helikopteri za protiv podmornièku borbu
35612300-0,Helikopteri za podršku
35612400-1,Vojni transportni helikopteri
35612500-2,Helikopteri za traženje i spašavanje
35613000-4,Letelice bez posade
35613100-5,Bespilotne borbene letelice
35620000-6,Rakete
35621000-3,Strateške rakete
35621100-4,Strateške protiv-balistièke rakete
35621200-5,Interkontinentalne balistièke rakete
35621300-6,Balistièke rakete koje se ispaljuju sa podmornica
35621400-7,Balistièke rakete srednjeg dometa
35622000-0,Taktièke rakete
35622100-1,Rakete vazduh – vazduh
35622200-2,Rakete vazduh – zemlja
35622300-3,Protiv-mornarièke rakete
35622400-4,Protivpodmornièke rakete
35622500-5,Taktièke protiv-balistièke rakete
35622600-6,Protivtenkovske navoðene rakete
35622700-7,Rakete zemlja – vazduh
35623000-7,Krstareæe rakete
35623100-8,"Krstareæe rakete lansirane iz vazduha, sa zemlje ili sa mora"
35630000-9,Vojne svemirske letelice
35631000-6,Vojni sateliti
35631100-7,Sateliti za komunikaciju
35631200-8,Sateliti za posmatranje
35631300-9,Sateliti za navigaciju
35640000-2,Delovi vojne avio opreme
35641000-9,Konstrukcijski i mehanièki rezervni delovi za vojnu avio opremu
35641100-0,Motori i delovi motora za vojnu avio opremu
35642000-7,Elektronski i elektrièni rezervni delovi za vojnu avio opremu
35700000-1,Vojni elektronski sistemi
35710000-4,"Sistemi za komandu, upravljanje, komunikaciju i raèunare"
35711000-1,"Sistemi za komandu, upravljanje i komunikaciju"
35712000-8,"Taktièki sistemi za komandu, upravljanje i komunikaciju"
35720000-7,"Obaveštajni rad, nadzor, otkrivanje ciljeva i izviðanje"
35721000-4,Elektronski obaveštajni sistem
35722000-1,Radar
35723000-8,Radar vazdušne obrane
35730000-0,Sistemi za elektronsko ratovanje i protivmere
35740000-3,Borbeni simulatori
35800000-2,Individualna oprema i oprema za podršku
35810000-5,Individualna oprema
35811100-3,Vatrogasne uniforme
35811200-4,Policijske uniforme
35811300-5,Vojne uniforme
35812000-9,Borbene uniforme
35812100-0,Maskirne jakne
35812200-1,Borbena odeæa
35812300-2,Borbena oprema
35813000-6,Vojni šlemovi
35813100-7,Navlake za šlemove
35814000-3,Gas maske
35815000-0,Odeæa za antibalistièku zaštitu
35815100-1,Neprobojni prsluci
35820000-8,Oprema za podršku
35821000-5,Zastave
35821100-6,Jarbol za zastavu
37000000-8,"Muzièki instrumenti, sportska roba, igre, igraèke, proizvodi ruènog rada, umetnièki materijali i pribor"
37300000-1,Muzièki instrumenti i delovi
37310000-4,Muzièki instrumenti
37311000-1,Instrumenti sa klavijaturom
37311100-2,Klaviri
37311200-3,Harmonike
37311300-4,Orgulje
37311400-5,Èelesta
37312000-8,Limeni duvaèki instrumenti
37312100-9,Trube
37312200-0,Tromboni
37312300-1,Suzafoni
37312400-2,Saksofoni
37312500-3,Zviždaljka
37312600-4,Rog
37312700-5,Saksov rog
37312800-6,Male trube
37312900-7,"Alt, bariton, krilnica (flighorna) i francuske trube"
37312910-0,Alt trube
37312920-3,Bariton trube
37312930-6,Krilnica
37312940-9,Francuske trube
37313000-5,Žièani instrumenti
37313100-6,Klavseni
37313200-7,Klavikordi
37313300-8,Gitare
37313400-9,Violine
37313500-0,Harfe
37313600-1,Bendžo
37313700-2,Mandoline
37313800-3,Violonèelo
37313900-4,Kontrabas
37314000-2,Drveni duvaèki instrumenti
37314100-3,Klarineti
37314200-4,Oboe
37314300-5,Muzièke kornete i flaute
37314310-8,Muzièke kornete
37314320-1,Muzièke flaute
37314400-6,Pikolo flauta
37314500-7,Gajde
37314600-8,Usna harmonika
37314700-9,Kazu (vrsta muzièkog instrumenta igraèke)
37314800-0,Engleski rog
37314900-1,Okarine
37315000-9,Muzièki instrumenti sa elektriènim pojaèalom
37315100-0,Sintisajzeri
37316000-6,Udaraljke
37316100-7,Cimbala
37316200-8,Zvonèiæi (instrument)
37316300-9,Daire
37316400-0,Kastanjete
37316500-1,Bubnjevi (instrument)
37316600-2,Ksilofoni
37316700-3,Vibrafoni
37320000-7,Delovi i pribor za muzièke instrumente
37321000-4,Pribor za muzièke instrumente
37321100-5,Metronomi
37321200-6,Pisak
37321300-7,Pribor za gudaèke muzièke instrumente
37321400-8,Strune ili trzalice za muzièke instrumente
37321500-9,Pribor za perkusione instrumente
37321600-0,Koferi i kutije za muzièke instrumente ili pribor
37321700-1,Stalci za muzièke instrumente ili notni pultovi
37322000-1,Delovi muzièkih instrumenata
37322100-2,Kljuèevi za štimovanje instrumenta
37322200-3,Muzièke kutije ili mehanizmi
37322300-4,Usnik
37322400-5,Prigušivaè
37322500-6,Rezonantne ploèe
37322600-7,Dirigentske palice
37322700-8,Jastuèiæi za male flaute
37400000-2,Sportska roba i oprema
37410000-5,Oprema za sportove na otvorenom
37411000-2,Zimska oprema
37411100-3,Oprema za skijanje i spuštanje na dasci
37411110-6,Skijaške èizme
37411120-9,Skije
37411130-2,Skijaški štapovi
37411140-5,Vezovi
37411150-8,Daska za skijanje
37411160-1,Skijaška odeæa
37411200-4,Oprema za klizanje i hokej na ledu
37411210-7,Pakovi za hokej
37411220-0,Klizaljke
37411230-3,Palice za hokej
37411300-5,Odeæa i oprema za polarne uslove
37412000-9,Oprema za sportove na vodi
37412100-0,Skije za vodu
37412200-1,Ronilaèka oprema i oprema za ronjenje na dah
37412210-4,Kompenzatori plutanja
37412220-7,Boce sa vazduhom za ronjenje
37412230-0,Regulatori za ronjenje
37412240-3,Instrumenti ili pribor za ronjenje
37412241-0,Aparati za disanje pri ronjenju
37412242-7,Ronilaèki kostimi
37412243-4,Ronilaèki skafanderi
37412250-6,"Maske, peraje ili cevi za disanje na masci"
37412260-9,Ronilaèka odela
37412270-2,Ronilaèka odela sa termalnom zaštitom
37412300-2,Oprema i pribor za surfovanje i plivanje
37412310-5,"Daske za skijanje na vodi, daske za skijanje na vodi kleèenjem i platforme za plivanje"
37412320-8,Oprema za jedrenje na dasci
37412330-1,Daske za surfovanje
37412340-4,Plivaèke naoèare ili peraja
37412350-7,Oprema za parajedrenje
37413000-6,Proizvodi za lov ili ribolov
37413100-7,Pribor za ribolov
37413110-0,Ribolovaèki štapovi
37413120-3,Ribolovaèki konac
37413130-6,Èekrci za ribolov
37413140-9,Varalice za pecanje
37413150-2,Mamci za pecanje
37413160-5,Ribolovaèki olovni tegovi
37413200-8,Proizvodi za lov
37413210-1,Lovaèki zvuèni mamci
37413220-4,Lovaèki mamci
37413230-7,Lovaèke zamke
37413240-0,Lovaèka puška
37414000-3,Predmeti za logorovanje
37414100-4,Vreæe za spavanje
37414200-5,Ruèni frižider
37414300-6,Kompleti za popravku šatora
37414600-9,Peæi za kampovanje ili upotrebu na otvorenom
37414700-0,Ruèni frižider za piæe
37414800-1,Odeæa za preživljavanje
37415000-0,Oprema za atletiku
37416000-7,Oprema za slobodne aktivnosti
37420000-8,Oprema za vežbaonice
37421000-5,Strunjaèe za vežbaonice
37422000-2,Gimnastièke preèke ili grede
37422100-3,Gimnastièke preèke
37422200-4,Gimnastièke grede
37423000-9,Gimnastièka užad ili kolutovi ili oprema za penjanje
37423100-0,Gimnastièka užad
37423200-1,Gimnastièki kolutovi
37423300-2,Gimnastièka oprema za penjanje
37424000-6,Gimnastièka oprema za skokove
37425000-3,Gimnastièke odskoène daske
37426000-0,Oprema za ravnotežu
37430000-1,Oprema za boks
37431000-8,Bokserski ring
37432000-5,Bokserski džakovi
37433000-2,Bokserske rukavice
37440000-4,Oprema za fitnes vežbe
37441000-1,Oprema za aerobik vežbe
37441100-2,Pokretna traka za trèanje
37441200-3,Penjalice
37441300-4,Sobni bicikli
37441400-5,Ureðaji za veslanje
37441500-6,Užad za preskakanje
37441600-7,Tramboline za vežbu
37441700-8,Lopte za vežbanje
37441800-9,Oprema za step aerobik vežbe
37441900-0,Sobni trenažeri
37442000-8,Sprave za dizanje i povlaèenje tegova
37442100-8,Jednoruèni tegovi
37442200-8,Tegovi na šipki
37442300-8,Sprave za vežbe donjeg i gornjeg dela torzoa
37442310-4,Sprave za vežbe donjeg dela torzoa
37442320-7,Sprave za vežbe gornjeg dela torzoa
37442400-8,Klupe za dizanje tegova i nosaèi za tegove
37442500-8,Tegovi za fitnes
37442600-8,Sprave za pilates
37442700-8,Sprave za jaèanje stiska
37442800-8,Trake i opruge za rastezanje
37442810-9,Trake za rastezanje
37442820-2,Opruge za rastezanje
37442900-8,Višenamenske vežbaonice
37450000-7,Oprema za sportove na sportskim igralištima i terenima
37451000-4,Oprema za sportove na sportskim igralištima
37451100-5,Lopte za bezbol
37451110-8,Ograde za bezbol
37451120-1,Baze za bezbol
37451130-4,Palice za bezbol
37451140-7,Pribor za udaranje u bezbolu
37451150-0,Rukavice za bezbol
37451160-3,Zaštitna oprema za bezbol ili softbol
37451200-6,Oprema za hokej na travi
37451210-9,Lopte za hokej na travi
37451220-2,Palice za hokej na travi
37451300-7,Lopte za amerièki fudbal
37451310-0,Džakovi za vežbanje blokada u amerièkom fudbalu
37451320-3,Postolja za šutiranje lopte u amerièkom fudbalu
37451330-6,Lutke za zaustavljanje navalnog igraèa u amerièkom fudbalu
37451340-9,Oprema za beskontaktni amerièki fudbal (fleg fudbal)
37451400-8,Lopte za lakros (vrsta igre sa loptom)
37451500-9,Palice za lakros
37451600-0,Ureðaji za bacanje lopte
37451700-1,Fudbalske lopte
37451710-4,Oprema za obeležavanje fudbalskog igrališta
37451720-7,Zaštitna oprema za fudbal
37451730-0,Pomoæna sredstva za treniranje fudbala
37451800-2,Lopte za softbol
37451810-5,Palice za softbol
37451820-8,Rukavice za softbol
37451900-3,Lopte za rukomet
37451920-9,Školski kompleti za rukomet
37452000-1,Reketi i oprema za sportske terene
37452100-2,Oprema za badminton
37452110-5,Loptice za badminton
37452120-8,Reketi za badminton
37452200-3,Lopte za košarku
37452210-6,Potpuni sistemi za košarku
37452300-4,Zaštitna oprema za hokej na parketu
37452400-5,"Loptice, držaèi i žice za raketbol"
37452410-8,Loptice za raketbol
37452420-1,Držaèi za reket za raketbol
37452430-4,Žice za reket u raketbolu
37452500-6,Reketi za raketbol
37452600-7,Oprema za skvoš
37452610-0,Loptice za skvoš
37452620-3,Reketi za skvoš
37452700-8,Oprema za tenis
37452710-1,Loptice za tenis
37452720-4,Oprema za teniski teren
37452730-7,Reketi za tenis
37452740-0,Pomoæna sredstva za treniranje tenisa
37452800-9,Lopte i motke za teter (igra sa loptom vezanom na dugom kanapu)
37452810-2,Lopte za teter
37452820-5,Motke za teter
37452900-0,Lopte za odbojku
37452910-3,Standardna oprema za odbojku u sportskoj sali
37452920-6,Skladište za lopte i mreže za odbojku
37453000-8,Oprema za trèanje
37453100-9,Koplja
37453200-0,Letvice za skok uvis
37453300-1,Disk za bacanje
37453400-2,Kugle za bacanje
37453500-3,Motke za skok uvis
37453600-4,Prepone za trke
37453700-5,Štafetne palice (sport)
37460000-0,Stone igre i igre sa metom i oprema
37461000-7,Stone igre i oprema
37461100-8,Stolovi ili pribor za vazdušni hokej
37461200-9,Loptice za stoni fudbal
37461210-2,Rezerve za figure igraèa za stoni fudbal
37461220-5,Stolovi za stoni fudbal
37461300-0,Štapovi za bilijar
37461400-1,Oprema za hokej na dasci (šafl-bord)
37461500-2,Stolovi za stoni tenis
37461510-5,Loptice za stoni tenis
37461520-8,Reketi za stoni tenis
37462000-4,Igre sa ciljanje u metu i oprema
37462100-5,Oprema za strelièarstvo
37462110-8,Štitnici za ruke za strelièarstvo
37462120-1,Strele za strelièarstvo
37462130-4,Podloge iza mete u strelièarstvu
37462140-7,Tetive za strelièarstvo
37462150-0,Lukovi za strelièarstvo
37462160-3,Rukavice za strelièarstvo
37462170-6,Postolja sa metama za strelièarstvo
37462180-9,Mete za strelièarstvo
37462200-6,Pikado
37462210-9,Ploèe za pikado
37462300-7,Pokretne mete
37462400-8,Oprema za gaðanje pokretnih meta
37470000-3,Oprema za golf i kuglanje
37471000-0,Oprema za golf
37471100-1,Torbe za golf
37471200-2,Loptice za golf
37471300-3,Palice za golf
37471400-4,Startna postolja za loptice za golf
37471500-5,Navlake za palice za golf
37471600-6,Rukavice za golf
37471700-7,Sprava za poravnanje traga udara palice za golf
37471800-8,Meraè udaljenosti u golfu
37471900-9,Ureðaji za vežbanje udaraca u golfu
37472000-7,Oprema za kuglanje
37480000-6,Mašine ili ureðaji za slobodne aktivnosti
37481000-3,Mašine za održavanje leda
37482000-0,Sportske oglasne table
37500000-3,"Igrice i igraèke, predmeti u zabavnim parkovima"
37510000-6,Lutke
37511000-3,Kuæe za lutke
37512000-0,Delovi za lutke ili pribor
37513000-7,Lutke za lutkarsko pozorište
37513100-8,Lutkarska pozorišta
37520000-9,Igraèke
37521000-6,Igraèke muzièki instrumenti
37522000-3,Igraèke na toèkovima
37523000-0,Slagalice
37524000-7,Igrice
37524100-8,Obrazovne igre
37524200-9,Stone društvene igre
37524300-0,Klasiène igre
37524400-1,Društvene igre
37524500-2,Strateške igre
37524600-3,Igre memorije
37524700-4,Pribor za igre
37524800-5,Lutrijske igre
37524810-8,Tiketi za lutriju
37524900-6,Kompleti za igre
37525000-4,Baloni igraèke i lopte
37526000-1,Kantice – igraèke
37527000-8,Vozovi i vozila igraèke
37527100-9,Vozovi igraèke
37527200-0,Vozila igraèke
37528000-5,Oružje – igraèke
37529000-2,Igraèke na naduvavanje i za jahanje
37529100-3,Igraèke na naduvavanje
37529200-4,Igraèke za jahanje
37530000-2,"Predmeti za luna park, stone ili društvene igre"
37531000-9,Karte za igranje
37532000-6,Video igre
37533000-3,Bilijar
37533100-4,Kugle za bilijar
37533200-5,Kreda za bilijar
37533300-6,Bilijarski takovi
37533400-7,Trougao (rek) za bilijar
37533500-8,Stolovi za bilijar
37534000-0,Igre na novèiæ ili žeton
37535000-7,"Vrteške, ljuljaške, streljane i drugi predmeti za razonodu u luna parku"
37535100-8,Ljuljaške
37535200-9,Oprema za deèija igrališta
37535210-2,Ljuljaške na deèijim igralištima
37535220-5,Penjalice na deèijim igralištima
37535230-8,Vrteške na deèijim igralištima
37535240-1,Tobogani na deèijim igralištima
37535250-4,Klackalice na deèijim igralištima
37535260-7,Tuneli na deèijim igralištima
37535270-0,Sanduci punjeni peskom na deèijim igralištima
37535280-3,Tribine na deèijim igralištima
37535290-6,Oprema za penjanje užetom i penjanje po zidu
37535291-3,Oprema za penjanje po zidu
37535292-0,Oprema za penjanje užetom
37540000-5,Mašine za kockanje
37800000-6,Materijal za ruèni rad i umetnièko stvaranje
37810000-9,Materijal za ruèni rad
37820000-2,Materijal za umetnièko stvaranje
37821000-9,Slikarske èetkice
37822000-6,Olovke za crtanje
37822100-7,Olovke za crtanje u boji
37822200-8,Ugalj za crtanje
37822300-9,Krede
37822400-0,Pastelne boje
37823000-3,Hartija nepropustljiva na masnoæu i drugi papirni proizvodi
37823100-4,Hartija nepropustljiva na masnoæu
37823200-5,Paus hartija
37823300-6,Kristal hartija
37823400-7,Prozirna ili poluprozirna hartija
37823500-8,Slikarski papir i papir za modeliranje
37823600-9,Hartija za crtanje
37823700-0,Hartija za mape
37823800-1,Višeslojna hartija i karton
37823900-2,Kraftlajner
38000000-5,"Laboratorijska, optièka i precizna oprema (osim naoèara)"
38100000-6,Navigacioni i meteorološki instrumenti
38110000-9,Navigacioni instrumenti
38111000-6,Oprema za odreðivanje smera
38111100-7,Kompasi
38111110-0,Pribor za kompase
38112000-3,Sekstanti
38112100-4,Globalni sistemi navigacije i pozicioniranja (GPS ili slièni sistemi)
38113000-0,Sonari
38114000-7,Dubinomeri
38115000-4,Radarski ureðaji
38115100-5,Oprema za radarski nadzor
38120000-2,Meteorološki instrumenti
38121000-9,Anemometri
38122000-6,Barometri
38123000-3,Meraèi padavina ili isparavanja
38124000-0,Ureðaji sa radijskom sondom
38125000-7,Meraèi pale kiše
38126000-4,Ureðaji za posmatranje površine
38126100-5,Ureðaji za praæenje padavina ili isparavanja na površini
38126200-6,Ureðaji za praæenje sunèevog zraèenja na površini
38126300-7,Ureðaji za praæenje temperature i vlažnosti na površini
38126400-8,Ureðaji za praæenje brzine vetra na površini
38127000-1,Meteorološke stanice
38128000-8,Pribor za meteorološke instrumente
38200000-7,Geološki i geofizièki instrumenti
38210000-0,Geološki kompasi
38220000-3,Ureðaji za geološka istraživanja
38221000-0,Geografski informacioni sistemi (GIS ili slièni sistemi)
38230000-6,Elektromagnetni geofizièki instrumenti
38240000-9,Gravitacijski geofizièki instrumenti
38250000-2,Geofizièki instrumenti sa indukcijskom polarizacijom (IP)
38260000-5,Magnetometri (geofizièki instrumenti)
38270000-8,Geofizièki instrumenti za merenje otpornosti
38280000-1,Gravimetri
38290000-4,"Geodetski, hidrografski, okeanografski i hidrološki instrumenti i ureðaji"
38291000-1,Telemetrijski instrumenti
38292000-8,Hidrografski instrumenti
38293000-5,Seizmièka oprema
38294000-2,Teodoliti
38295000-9,Oprema za topografiju
38296000-6,Geodetski instrumenti
38300000-8,Merni instrumenti
38310000-1,Precizne vage
38311000-8,Elektronske vage i pribor
38311100-9,Elektronske analitièke vage
38311200-0,Elektronske tehnièke vage
38311210-3,Tegovi za baždarenje
38320000-4,Stolovi za crtanje
38321000-1,Aparati za crtanje
38322000-8,Pantografi
38323000-5,Logaritmari
